PM2.5,PM10,NO,NO2,NOx,NH3,CO,O3,AQI
'\'(-inf-19.335]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(1.044-1.566]\'','\'(-inf-10.858]\'',70
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(77.22-96.515]\'','\'(117.26-140.71]\'','\'(5.179-10.338]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(4.698-inf)\'','\'(-inf-10.858]\'',227
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(4.698-inf)\'','\'(21.706-32.554]\'',213
'\'(38.63-57.925]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(1.566-2.088]\'','\'(65.098-75.946]\'',188
'\'(38.63-57.925]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',114
'\'(38.63-57.925]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(1.044-1.566]\'','\'(54.25-65.098]\'',143
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
