PM2.5,PM10,NO,NO2,NOx,NH3,CO,O3,AQI
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(0.522-1.044]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(1.566-2.088]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(-inf-10.858]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(0.522-1.044]\'','\'(43.402-54.25]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(1.566-2.088]\'','\'(43.402-54.25]\'',?
'\'(77.22-96.515]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(43.402-54.25]\'',294
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(43.402-54.25]\'',149
'\'(96.515-115.81]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(1.044-1.566]\'','\'(54.25-65.098]\'',256
'\'(38.63-57.925]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(65.098-75.946]\'',292
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(3.132-3.654]\'','\'(21.706-32.554]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(15.497-20.656]\'','\'(19.626-29.434]\'','\'(29.997-39.996]\'','\'(23.114-28.89]\'','\'(2.088-2.61]\'','\'(32.554-43.402]\'',?
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(3.132-3.654]\'','\'(54.25-65.098]\'',190
'\'(154.4-173.695]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(3.654-4.176]\'','\'(32.554-43.402]\'',?
'\'(115.81-135.105]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(4.176-4.698]\'','\'(32.554-43.402]\'',303
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(3.132-3.654]\'','\'(10.858-21.706]\'',126
'\'(96.515-115.81]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(19.626-29.434]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(3.654-4.176]\'','\'(21.706-32.554]\'',226
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(3.132-3.654]\'','\'(43.402-54.25]\'',189
'\'(96.515-115.81]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(19.998-29.997]\'','\'(23.114-28.89]\'','\'(4.176-4.698]\'','\'(10.858-21.706]\'',240
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(3.132-3.654]\'','\'(21.706-32.554]\'',120
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(3.654-4.176]\'','\'(10.858-21.706]\'',152
'\'(38.63-57.925]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(4.176-4.698]\'','\'(43.402-54.25]\'',176
'\'(38.63-57.925]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(9.818-19.626]\'','\'(9.999-19.998]\'','\'(23.114-28.89]\'','\'(4.176-4.698]\'','\'(65.098-75.946]\'',167
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(0.522-1.044]\'','\'(-inf-10.858]\'',105
'\'(38.63-57.925]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(0.522-1.044]\'','\'(-inf-10.858]\'',101
'\'(38.63-57.925]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(0.522-1.044]\'','\'(-inf-10.858]\'',93
'\'(19.335-38.63]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(0.522-1.044]\'','\'(-inf-10.858]\'',67
'\'(19.335-38.63]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(0.522-1.044]\'','\'(-inf-10.858]\'',60
'\'(38.63-57.925]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(0.522-1.044]\'','\'(-inf-10.858]\'',?
'\'(38.63-57.925]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(0.522-1.044]\'','\'(-inf-10.858]\'',90
'\'(19.335-38.63]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(-inf-0.522]\'','\'(-inf-10.858]\'',78
'\'(19.335-38.63]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(-inf-0.522]\'','\'(-inf-10.858]\'',48
'\'(19.335-38.63]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(-inf-0.522]\'','\'(-inf-10.858]\'',53
'\'(57.925-77.22]\'','\'(117.26-140.71]\'','\'(-inf-5.179]\'','\'(-inf-9.818]\'','\'(-inf-9.999]\'','\'(23.114-28.89]\'','\'(-inf-0.522]\'','\'(-inf-10.858]\'',91
